"Date","Purchase_order_ID","Product_ID","Product_Name","Category1","Category2","Quantity","Unit_of_Measure","Unit_Price","Value","Supplier","Rabat","Type_order","Seasonality","Transport_Cost","Delivery_Expected","Delivery_Reality","Timeliness","Currency","Umowa_ramowa","Notes"
"5/10/2024","PO-000001","P-0286","Dell Monitors 193","IT","Monitors","10","szt.","964.24","9642.4","OfficeLine Sp. z o.o.","0.00%","ofertowe","Q2","546.56","5/12/2024","5/10/2024","-2","PLN","nie",""
"10/17/2025","PO-000002","P-0109","Siemens Motors 555","Production","Motors","2","szt.","1805.11","3610.22","IndustrialCo Ltd","3.55%","produkcjne","Q4","165.81","10/28/2025","10/27/2025","-1","EUR","tak",""
"5/2/2025","PO-000003","P-0104","Brother Toner 350","Office","Toner","20","szt.","989.34","19786.8","PaperMax GmbH","1.67%","produkcjne","Q2","419.81","5/8/2025","5/17/2025","9","EUR","tak",""
"10/8/2024","PO-000004","P-0333","Siemens Sensors 799","Production","Sensors","100","szt.","501.28","50128.0","ITDistrib BV","4.69%","produkcjne","Q4","1496.35","10/12/2024","10/12/2024","0","EUR","tak",""
"5/10/2024","PO-000005","P-0331","Dell Monitors Model 171","IT","Monitors","10","szt.","1626.08","16260.8","SafeGear GmbH","2.91%","ramowe","Q2","359.2","5/13/2024","5/13/2024","0","EUR","tak",""
"11/17/2024","PO-000006","P-0235","Brother Printers 970","IT","Printers","100","szt.","1543.89","154389.0","OfficeLine Ltd","4.58%","produkcjne","Q4","3712.73","11/25/2024","11/25/2024","0","EUR","tak",""
"8/25/2024","PO-000007","P-0224","Mann Filters Model 604","Automotive","Filters","200","szt.","29.67","5934.0","PaperMax S.r.l.","1.41%","produkcjne","Q3","243.63","8/28/2024","8/29/2024","1","EUR","tak",""
"6/22/2024","PO-000008","P-0240","Uvex Safety glasses Model 206","BHP","Safety glasses","200","szt.","150.71","30142.0","TechParts Sp. z o.o.","0.00%","ramowe","Q2","1119.39","6/25/2024","6/25/2024","0","PLN","nie",""
"5/31/2024","PO-000009","P-0325","3M Safety glasses Model 497","BHP","Safety glasses","100","szt.","135.04","13504.0","ProMech Sp. z o.o.","0.00%","ramowe","Q2","175.46","6/11/2024","6/10/2024","-1","PLN","tak",""
"6/30/2025","PO-000010","P-0130","NTN Bearings Model 625","Automotive","Bearings","1","szt.","291.98","291.98","EuroSupply GmbH","3.59%","produkcjne","Q2","18.26","7/7/2025","7/7/2025","0","EUR","nie",""
"10/7/2024","PO-000011","P-0336","REX Screws 294","Production","Screws","50","szt.","0.23","11-May","LogiTrans SARL","1.63%","produkcjne","Q4","0.86","10/12/2024","10/20/2024","8","EUR","nie",""
"6/27/2025","PO-000012","P-0130","NTN Bearings Model 625","Automotive","Bearings","2","szt.","303.24","606.48","OfficeLine Sp. z o.o.","1.92%","produkcjne","Q2","29.77","6/28/2025","7/5/2025","7","PLN","nie",""
