"Supplier_ID","Supplier_Name","Category","Reliability_Score","Avg_Delivery_Days","Price_Score","Quality_Score","Contact_Email","Country","Currency"
"S-001","IndustrialCo Sp. z o.o.","Office","0.93","7","0.53","0.8","kontakt@industrialco.com","Poland","PLN"
"S-002","OfficeLine S.r.l.","BHP","0.86","11","0.94","0.72","kontakt@officeline.com","France","EUR"
"S-003","LogiTrans Sp. z o.o.","Office","0.91","4","0.57","0.81","kontakt@logitrans.com","Poland","PLN"
"S-004","IndustrialCo Sp. z o.o.","Automotive","0.75","7","0.54","0.64","kontakt@industrialco.com","Poland","PLN"
"S-005","PaperMax Sp. z o.o.","BHP","0.71","10","0.62","0.62","kontakt@papermax.com","Poland","PLN"
"S-006","IndustrialCo Ltd","Office;Automotive","0.85","9","0.98","0.74","kontakt@industrialco.com","Slovakia","EUR"
"S-007","LogiTrans Sp. z o.o.","IT;Office","0.98","8","0.96","0.73","kontakt@logitrans.com","Poland","PLN"
"S-008","ProMech Sp. z o.o.","Office","0.86","8","1.0","0.85","kontakt@promech.com","Poland","PLN"
"S-009","TechParts Ltd","Production","0.87","6","0.89","0.89","kontakt@techparts.com","Germany","EUR"
"S-010","OfficeLine Ltd","Production;BHP","0.75","7","0.52","0.79","kontakt@officeline.com","Czech Republic","EUR"
"S-011","SafeGear S.r.l.","BHP","0.77","12","0.84","0.89","kontakt@safegear.com","Italy","EUR"
"S-012","TechParts Sp. z o.o.","Office;BHP","0.93","4","0.99","0.65","kontakt@techparts.com","Poland","PLN"
"S-013","ITDistrib BV","Production;BHP","0.73","6","0.93","0.69","kontakt@itdistrib.com","Germany","EUR"
"S-014","PaperMax GmbH","Automotive","0.93","9","0.97","0.69","kontakt@papermax.com","Slovakia","EUR"
"S-015","PaperMax Sp. z o.o.","IT","0.75","8","0.95","0.93","kontakt@papermax.com","Poland","PLN"
"S-016","SafeGear GmbH","Production","0.78","7","0.66","0.88","kontakt@safegear.com","France","EUR"
"S-017","TechParts Sp. z o.o.","Production","0.88","13","0.93","0.89","kontakt@techparts.com","Poland","PLN"
"S-018","IndustrialCo Sp. z o.o.","Automotive;IT","0.89","1","0.83","0.74","kontakt@industrialco.com","Poland","PLN"
"S-019","PaperMax Sp. z o.o.","Automotive","0.94","1","0.74","0.74","kontakt@papermax.com","Poland","PLN"
"S-020","ITDistrib Sp. z o.o.","Office;BHP","0.72","11","0.57","0.74","kontakt@itdistrib.com","Poland","PLN"
"S-021","ProMech Sp. z o.o.","Automotive","0.87","4","0.95","0.9","kontakt@promech.com","Poland","PLN"
"S-022","IndustrialCo SARL","BHP","0.95","15","0.64","0.68","kontakt@industrialco.com","Czech Republic","EUR"
"S-023","TechParts Sp. z o.o.","IT","0.9","4","0.69","0.76","kontakt@techparts.com","Poland","PLN"
"S-024","PaperMax BV","BHP","0.86","9","0.92","0.66","kontakt@papermax.com","Czech Republic","EUR"
"S-025","PaperMax SARL","BHP;Production","0.77","7","0.9","0.97","kontakt@papermax.com","Czech Republic","EUR"
"S-026","OfficeLine Sp. z o.o.","Office;Automotive","0.97","1","0.64","0.69","kontakt@officeline.com","Poland","PLN"
"S-027","ProMech Sp. z o.o.","Automotive","0.77","13","0.71","0.77","kontakt@promech.com","Poland","PLN"
"S-028","OfficeLine Sp. z o.o.","Automotive","0.98","7","0.83","0.93","kontakt@officeline.com","Poland","PLN"
"S-029","EuroSupply Sp. z o.o.","Production;Office","0.89","11","0.96","0.63","kontakt@eurosupply.com","Poland","PLN"
"S-030","ProMech Sp. z o.o.","Automotive","0.75","5","0.97","0.65","kontakt@promech.com","Poland","PLN"
"S-031","LogiTrans BV","IT;Production","0.79","4","0.6","0.85","kontakt@logitrans.com","Germany","EUR"
"S-032","SafeGear Sp. z o.o.","Office;BHP","0.86","12","0.67","0.73","kontakt@safegear.com","Poland","PLN"
"S-033","PaperMax S.r.l.","BHP;Automotive","0.86","7","0.73","0.75","kontakt@papermax.com","Germany","EUR"
"S-034","EuroSupply S.r.l.","BHP;Production","0.87","5","0.81","0.8","kontakt@eurosupply.com","Spain","EUR"
"S-035","IndustrialCo Ltd","Production","0.8","7","0.9","0.99","kontakt@industrialco.com","Spain","EUR"
"S-036","SafeGear Sp. z o.o.","Production;BHP","0.93","1","0.58","0.68","kontakt@safegear.com","Poland","PLN"
"S-037","IndustrialCo Sp. z o.o.","BHP","0.9","13","0.59","0.7","kontakt@industrialco.com","Poland","PLN"
"S-038","AutoServ Sp. z o.o.","IT;Office","0.96","6","0.83","0.95","kontakt@autoserv.com","Poland","PLN"
"S-039","IndustrialCo Sp. z o.o.","BHP","0.76","6","0.83","0.8","kontakt@industrialco.com","Poland","PLN"
"S-040","IndustrialCo BV","BHP;Automotive","0.8","2","0.71","0.86","kontakt@industrialco.com","Czech Republic","EUR"
"S-041","EuroSupply SARL","IT;Automotive","0.74","9","0.95","0.97","kontakt@eurosupply.com","Netherlands","EUR"
"S-042","EuroSupply Sp. z o.o.","Production;Office","0.96","4","0.74","0.97","kontakt@eurosupply.com","Poland","PLN"
"S-043","TechParts Sp. z o.o.","Automotive","0.89","5","1.0","0.8","kontakt@techparts.com","Poland","PLN"
"S-044","PaperMax GmbH","IT","0.85","9","0.86","1.0","kontakt@papermax.com","Germany","EUR"
"S-045","AutoServ Sp. z o.o.","BHP;Production","0.82","14","0.96","0.8","kontakt@autoserv.com","Poland","PLN"
"S-046","AutoServ Sp. z o.o.","BHP;IT","0.95","9","0.81","0.78","kontakt@autoserv.com","Poland","PLN"
"S-047","EuroSupply SARL","BHP","0.91","1","0.97","0.76","kontakt@eurosupply.com","Germany","EUR"
"S-048","TechParts Sp. z o.o.","Office","0.97","6","0.61","0.73","kontakt@techparts.com","Poland","PLN"
"S-049","OfficeLine Sp. z o.o.","IT","0.88","4","0.82","0.89","kontakt@officeline.com","Poland","PLN"
"S-050","OfficeLine BV","Office","0.79","12","0.83","0.84","kontakt@officeline.com","Netherlands","EUR"
"S-051","PaperMax Sp. z o.o.","Production;BHP","0.87","5","0.74","0.73","kontakt@papermax.com","Poland","PLN"
"S-052","AutoServ GmbH","Production;Automotive","0.92","8","0.87","0.61","kontakt@autoserv.com","Germany","EUR"
"S-053","AutoServ Sp. z o.o.","Automotive","0.91","7","0.98","0.62","kontakt@autoserv.com","Poland","PLN"
"S-054","LogiTrans BV","Office","0.97","11","0.97","0.84","kontakt@logitrans.com","Spain","EUR"
"S-055","AutoServ BV","IT","0.91","10","0.5","0.96","kontakt@autoserv.com","France","EUR"
"S-056","ProMech Sp. z o.o.","BHP","0.97","5","0.64","0.83","kontakt@promech.com","Poland","PLN"
